city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Edina,Edina,MN,Minnesota,27053,Hennepin,44.8914,-93.3602,52857,1320,polygon,FALSE,TRUE,America/Chicago,3,55424 55436 55435 55439 55410,1840007822
St. Louis Park,St. Louis Park,MN,Minnesota,27053,Hennepin,44.9488,-93.3649,48662,1767,polygon,FALSE,TRUE,America/Chicago,3,55426 55416,1840008935
Moorhead,Moorhead,MN,Minnesota,27027,Clay,46.8673,-96.7461,43652,756,polygon,FALSE,TRUE,America/Chicago,3,56560 56562 56563,1840007731
Shakopee,Shakopee,MN,Minnesota,27139,Scott,44.7744,-93.4764,41570,570,polygon,FALSE,TRUE,America/Chicago,3,55379,1840008955
Maplewood,Maplewood,MN,Minnesota,27123,Ramsey,44.9842,-93.0247,40885,926,polygon,FALSE,TRUE,America/Chicago,3,55117 55119 55109,1840008937
Cottage Grove,Cottage Grove,MN,Minnesota,27163,Washington,44.8161,-92.9274,37604,431,polygon,FALSE,TRUE,America/Chicago,3,55016 55033,1840006735
Roseville,Roseville,MN,Minnesota,27123,Ramsey,45.0155,-93.1545,36457,1081,polygon,FALSE,TRUE,America/Chicago,3,55113,1840008939
Richfield,Richfield,MN,Minnesota,27053,Hennepin,44.8762,-93.2833,36354,2088,polygon,FALSE,TRUE,America/Chicago,2,55423,1840008930
Inver Grove Heights,Inver Grove Heights,MN,Minnesota,27037,Dakota,44.8247,-93.0596,35672,494,polygon,FALSE,TRUE,America/Chicago,3,55077 55076,1840007858
Andover,Andover,MN,Minnesota,27003,Anoka,45.2571,-93.3265,33140,377,polygon,FALSE,TRUE,America/Chicago,3,55304,1840006716
Savage,Savage,MN,Minnesota,27139,Scott,44.7544,-93.3631,32362,801,polygon,FALSE,TRUE,America/Chicago,3,55378,1840008957
Brooklyn Center,Brooklyn Center,MN,Minnesota,27053,Hennepin,45.0681,-93.3162,30690,1480,polygon,FALSE,TRUE,America/Chicago,3,55429 55430,1840004022
Winona,Winona,MN,Minnesota,27169,Winona,44.0505,-91.6684,29601,539,polygon,FALSE,TRUE,America/Chicago,3,55987,1840010034
Oakdale,Oakdale,MN,Minnesota,27163,Washington,44.9876,-92.9641,27933,983,polygon,FALSE,TRUE,America/Chicago,3,55128,1840007813
Fridley,Fridley,MN,Minnesota,27003,Anoka,45.0841,-93.2595,27826,1056,polygon,FALSE,TRUE,America/Chicago,3,55421 55432,1840007798
Ramsey,Ramsey,MN,Minnesota,27003,Anoka,45.2617,-93.4494,27721,370,polygon,FALSE,TRUE,America/Chicago,3,55303,1840008904
Monticello,Monticello,MN,Minnesota,27171,Wright,45.298,-93.7984,27665,609,polygon,FALSE,TRUE,America/Chicago,3,55362,1840007795
Prior Lake,Prior Lake,MN,Minnesota,27139,Scott,44.7251,-93.4409,27241,661,polygon,FALSE,TRUE,America/Chicago,3,55372 55379,1840008956
Shoreview,Shoreview,MN,Minnesota,27123,Ramsey,45.0842,-93.1358,27130,972,polygon,FALSE,TRUE,America/Chicago,3,55126,1840008938
Chaska,Chaska,MN,Minnesota,27019,Carver,44.8164,-93.6092,26989,612,polygon,FALSE,TRUE,America/Chicago,3,55318,1840006760
Chanhassen,Chanhassen,MN,Minnesota,27019,Carver,44.8544,-93.5621,26389,499,polygon,FALSE,TRUE,America/Chicago,3,55331 55317 55318,1840006759
White Bear Lake,White Bear Lake,MN,Minnesota,27123,Ramsey,45.0657,-93.015,25875,1238,polygon,FALSE,TRUE,America/Chicago,3,55110,1840010005
Owatonna,Owatonna,MN,Minnesota,27147,Steele,44.0914,-93.2304,25704,682,polygon,FALSE,TRUE,America/Chicago,3,55060,1840008983
Austin,Austin,MN,Minnesota,27099,Mower,43.6718,-92.9783,25626,746,polygon,FALSE,TRUE,America/Chicago,3,55912,1840006830
Champlin,Champlin,MN,Minnesota,27053,Hennepin,45.1702,-93.3903,25268,1196,polygon,FALSE,TRUE,America/Chicago,3,55316,1840006746
